Query, Refcode,DIST1 
3,ADPORF,2.118
3,NBNTLF,2.134
3,TZAXKA,2.117
3,XVPDLV,2.128
3,EPSWMM,2.139
3,CESKUG,2.106
3,UZYUFF,2.110
3,ORVDFZ,2.289
3,EIXBTX,2.200
3,JCQBNP,2.323
3,JUNFWM,2.099
3,XYMLAD,2.155
3,QJLDHC,2.109
3,RHAYDC,2.130
3,STGLHK,2.109
3,RRBGWM,2.104
3,OWQVXL,2.099
3,RGEQER,2.090
3,OATWFH,2.100
3,IUSFOL,2.109
3,RHKGDG,2.128
3,WCKKFK,2.159
3,VKFGUN,2.102
3,WGQJVM,2.114
3,EAJPAA,2.128
3,GMYKYY,2.193
3,BAJYYN,2.285
3,MYYXAQ,2.135
3,MDGNMM,2.127
3,TBJGOJ,2.196
3,WWIYAO,2.280
3,YIZAMR,2.135
3,UBNVEZ,2.131
3,ROQPGO,2.166
3,ZALWEG,2.041
3,TIDCKV,2.028
3,BZWJAX,2.269
3,UHVVJY,2.055
3,LNRHGL,2.187
3,ZFLMDK,2.214
3,MZDDAO,2.209
3,TOBZIU,1.861
3,JKYLJX,1.859
3,DKOQYK,1.893
3,ORADAO,1.867
3,DAYNER,1.878
3,UQXYZP,1.875
3,ZJZFTB,1.931
3,NGFLRI,1.990
3,LXRTUK,1.956
3,PLFUQL,2.003
3,RLDBMB,1.985
3,RJXWPV,2.020
3,IUHADL,2.112
3,YFTEYD,1.942
3,YMZOXY,2.109
3,OGBOFP,1.931
3,WLANFO,1.933
3,UEEJZC,1.933
3,WACUOH,1.930
3,BVEWIO,1.915
3,PZQXQX,1.983
3,CYTQHR,1.985
3,TBTUOU,1.902
3,CRPZXO,1.926
3,HWMUIM,2.107
3,WGPSPB,2.081
3,HSCULU,1.976
3,NMROIU,1.982
3,BZUYQF,2.112
3,BLFTEU,2.090
3,FGCHUU,1.937
3,RUJYAW,1.926
3,QYLNRT,1.967
3,JGDIVE,1.958
3,TWCNCU,2.005
3,BUAYSH,2.025
3,VPIQYZ,2.046
3,ZCETMP,2.011
3,VXGTRV,1.894
3,JTCIDE,1.951
3,FYMWBY,1.964
3,MGLHHX,1.984
3,HNKYPI,2.046
3,NHCKOJ,2.035
3,TDJCCV,1.985
3,LBEGPC,1.999
3,HZDUYX,2.004
3,VFHYIG,2.024
3,UGJVBL,2.019
3,MQAINW,1.990
3,KHRLMS,2.033
3,ELKSHS,2.010
3,YYIOTC,1.976
3,ZLNLZI,2.028
3,VCSHDJ,2.043
3,MJHTZO,2.006
3,RVETVE,1.964
3,MZEBQL,2.059
3,VRUSVO,2.000
3,QHBNFH,1.961
3,BJAGHB,2.036
3,ZYCFEH,2.003
3,REULFX,1.913
3,PLRICI,1.962
3,OBBMZN,2.040
3,ZYLSVM,1.905
3,GGVVKA,2.053
3,BGECSZ,2.017
3,ZXPXEE,1.994
3,IABNWY,2.047
3,XLXNVY,2.009
3,LRXOXQ,2.000
3,FLAECX,2.001
3,BLUZGM,1.934
3,XUJKOI,1.935
3,LILXWU,2.007
3,CJFPQW,1.953
3,NXLVRP,2.022
3,FQOHYU,2.257
3,QMQAOM,2.162
3,VFHIYI,2.191
3,CXOEUD,2.260
3,NONXVG,1.884
3,VNOGTC,1.896
3,MVTFZL,1.890
3,NHHEJR,1.900
3,FLOWXZ,2.189
3,ZOHDAL,2.172
3,WTWOAE,2.192
3,XEMGVU,2.256
3,LYLQEA,2.217
3,VQXRRO,2.165
3,QERAFB,2.264
3,EWKFJC,2.304
3,ITPQLQ,2.163
3,ZZDGTU,2.233
3,LGAWBP,2.251
3,SWZXXH,2.211
3,QHSUTB,2.339
3,FQJPRU,2.168
3,GHHLSP,1.888
3,VWJZSL,2.201
3,TLVAGU,2.189
3,UXBESJ,2.185
3,BOQDBY,2.163
3,CHCBWQ,1.948
3,SOSLRY,2.236
3,YEMWHG,1.875
3,WPSIZB,1.904
3,NZQTER,1.947
3,ZGPODC,2.329
3,EYBPQD,2.247
3,EAJCLN,2.121
3,DDMKDP,2.262
3,UYZCXP,2.183
3,ZVEXQL,2.279
3,QZRIQG,2.245
3,MKQSFJ,2.224
3,FIDVEX,2.201
3,SDCKZX,2.151
3,XKZWQL,2.101
3,GOYQXA,2.259
3,YRZSEK,2.220
3,PFUXHT,2.123
3,WIJHZM,2.159
3,MRBVBU,2.259
3,TQMZSR,1.966
3,BBTBEU,1.858
3,ZKCHWN,2.278
3,JPRJYB,2.158
3,XKAXSX,1.929
3,BWAEBF,1.928
3,LXQIGT,1.949
3,MFOWPQ,1.876
3,OBVVDS,2.172
3,RAGPSY,2.224
3,XPWULN,1.948
3,MOVFFF,1.934
3,PHZHOK,2.173
3,IMENRP,2.133
3,AUOZJK,2.186
3,MKVDJL,2.149
3,QFRCRZ,2.302
3,BVNBUP,2.316
3,QMYEEI,1.928
3,UKXGJF,1.876
3,AJJDOX,1.909
3,XMLXEC,1.919
3,XFXRRT,2.305
3,BTNRPN,2.188
3,ANZXMG,2.142
3,UKHQNW,2.197
3,ZCGXST,2.271
3,AKUDPS,2.149
3,BSURPJ,2.313
3,QZBROZ,1.927
3,KQHJHF,1.878
3,ABZOZY,1.911
3,GGXHYW,1.920
3,TKAMAL,2.307
3,VWZFAA,2.179
3,ABEBJF,2.170
3,RJQPLU,2.165
3,CHEHKI,2.125
3,WBSEBI,2.172
3,XKSRFM,2.124
3,ZJJGGO,2.176
3,DUKMZK,2.197
3,UIUHDE,2.159
3,BHWYPM,2.153
3,QMKKQK,2.156
3,HEQMUG,2.148
3,WXZRYF,1.903
3,AFLNFD,1.951
3,RFYJUF,1.919
3,ZBKKNC,1.851
3,UFEKNC,1.864
3,HAUZWQ,1.961
3,FNMTEF,1.911
3,KNKWCT,1.958
3,ZGSMOH,1.916
3,WDZRJE,1.882
3,OPPMPU,1.836
3,UPWBAT,1.941
3,EVILBC,1.906
3,AQYUUR,1.893
3,YNQQWB,2.214
3,PSOCZJ,2.149
3,OZRUKE,1.967
3,DRCBFC,1.975
3,ZEKFLW,1.936
3,LZUBZF,1.965
3,ICMWSR,2.159
3,WLNOOW,2.014
3,TMYSEB,2.007
3,LIVRQO,2.177
3,ERVKBX,2.014
3,LBNXXW,1.960
3,CRRNXH,2.021
3,RGBKBC,1.981
3,WQBMKX,2.185
3,HAZAAE,2.207
3,SNFVRY,1.907
3,YGGTAW,1.896
3,EMGUQD,2.222
3,UQFDDJ,1.947
3,ZIZIBS,1.965
3,PGGZVU,2.197
3,DSVZIW,1.876
3,OBKRZU,1.896
3,TNLZKD,1.907
3,GPGQQL,1.872
3,EDIVPE,1.879
3,HSWPNN,1.913
3,LYKMRL,1.944
3,AQMQFC,1.931
3,YAXQCI,1.944
3,VUSVNU,1.889
3,QKBTKI,1.821
3,GORZJP,1.917
3,DQHMNG,1.878
3,FOMJWF,1.888
3,LSALFP,1.895
3,EHGGBA,1.905
3,VQUDGL,1.889
3,HZYJHA,1.912
3,CENGGM,1.930
3,PACIWJ,1.952
3,OKBJSM,1.901
3,YRMANG,1.872
3,ZOAFND,1.839
3,KARCUW,1.921
3,PSJPHY,1.878
3,GCAGNS,1.887
3,VCPKHV,2.222
3,XMQMZW,1.963
3,FLHLPZ,2.220
3,EWINVU,1.963
3,QRHDRE,1.896
3,RZDLII,1.869
3,TUJIRM,2.000
3,DQNNLJ,2.142
3,VGAZPG,1.986
3,XOCGGN,2.149
3,QDJFDT,1.884
3,XHFSIV,1.860
3,EJOACJ,1.972
3,PVURSX,2.015
3,FVCLBM,2.115
3,HHFNNV,2.209
3,RTLXAK,1.909
3,VXWXVO,1.864
3,VJNUDA,2.190
3,EWBDUJ,1.968
3,WFXMFS,2.209
3,LWFCIY,1.963
3,BBVGRL,2.090
3,GFYGMM,2.115
3,DVYGLF,2.137
3,UENWDL,2.126
3,CVIMDG,2.196
3,TVYZSO,2.206
3,SDIDYQ,1.908
3,XIMYZN,1.895
3,ULKZTH,2.247
3,TEQSSQ,1.962
3,SYJEDR,2.158
3,KTXWRJ,1.958
3,NVFAKX,1.892
3,DQIRJS,1.852
3,OUBFAR,1.959
3,LLHFCQ,2.072
3,JAJVSA,1.953
3,XHWPJC,2.181
3,ZUXUUR,1.895
3,DKBYTX,1.853
3,ZBPCZM,2.183
3,QDSBBO,2.211
3,EIXBWA,1.984
3,ETEEPM,1.934
3,QKBIMT,2.345
3,GGJVZQ,2.244
3,ZQQVVV,2.148
3,GHSUKS,2.107
3,JFJKUS,2.136
3,UZBYCB,2.240
3,NYYDYX,2.339
3,LAQIUO,2.148
3,MGSMUK,2.135
3,HGYZVG,2.114
3,EFEUAZ,2.137
3,YBEAAQ,2.146
3,MADAET,2.107
3,HAKTUD,2.341
3,VPFHYQ,2.238
3,AWTUET,1.863
3,PPZYTQ,2.065
3,VJVOSU,2.101
3,SCRWNF,2.037
3,DFYXEI,2.072
3,JEFTDM,1.866
3,SHASIP,2.091
3,BNOIYI,2.065
3,ITZLAZ,2.063
3,RLUIIH,2.083
3,GXHXBD,2.033
3,JIEVQA,2.096
3,GXZNYV,2.130
3,ZXKOHT,2.140
3,FHEZKF,2.090
3,BJUWDS,1.951
3,XLXLTJ,1.899
3,NWQZBK,1.850
3,VKNGXL,2.208
3,MBIIUL,2.251
3,WZAVMO,2.066
3,JIYSYD,2.069
3,ZRJPUN,2.241
3,XNYFZF,2.215
3,TUOLFA,2.205
3,IJMMBG,2.180
3,HEJRKF,2.228
3,BCYEDE,2.168
3,ZMCCBJ,2.126
3,MLCHTJ,2.149
3,RAVVEN,2.136
3,EJGMKV,2.095
3,ZFQOZO,2.165
3,ZMOYST,2.205
3,KJZXAV,2.208
3,UHSHTK,2.203
3,TBVDAV,2.252
3,ZVVRFY,2.088
3,GYUOLX,2.094
3,HHWDMX,2.089
3,SFIAIZ,2.062
3,INCIBZ,2.119
3,AWJHQM,2.123
3,PGMRPF,2.118
3,RTIDUT,2.184
3,UWCFJX,2.265
3,BLQZFO,2.226
3,UZNWMQ,2.132
3,OPULTO,2.129
3,QDZXZI,2.180
3,TYNQZR,2.128
3,DPKPCH,1.965
3,UJKKIO,1.893
3,ZBAAQB,1.886
3,YZDYMX,2.383
3,CWRPTE,2.229
3,KWJEQZ,2.154
3,QJGGMV,2.120
3,YKNJEH,2.188
3,NCKEWC,2.210
3,WAQTOG,2.144
3,TRJLKE,2.219
3,WINBDA,2.153
3,NAVJQE,2.222
3,RLCDEI,2.122
3,BQTKCD,2.124
3,MRNXZY,2.397
3,MZJWGI,1.899
3,UTIOLW,1.855
3,NTOPCP,1.924
3,RQFOUD,1.896
3,HCLMKH,1.910
3,QEEEEQ,1.910
3,GRVGMN,1.896
3,HTAPWF,1.868
3,GIWRZS,2.276
3,XDBCGO,2.270
3,FXKUSX,2.180
3,JIPKWZ,2.377
3,HGZYXA,2.259
3,BWKSQC,2.208
3,ZCUJDH,2.202
3,QQVTHP,2.148
3,DOPUJU,2.185
